id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7253121,Fantastic Apt. for 5  at Amoreiras,32924393,Tereza,Lisboa,Campo de Ourique,38.72012,-9.16053,Entire home/apt,100,3,2,2015-08-27,0.04,1,0
7254518,Estúdio no Estoril com terraço,11736449,Marta & Ricardo,Cascais,Cascais e Estoril,38.72068,-9.40768,Entire home/apt,40,2,109,2019-09-23,2.49,1,149
7255509,LISBON BEACH CHALÉ - CARCAVELOS,5788339,Pedro,Cascais,Carcavelos e Parede,38.69021,-9.3365,Private room,35,4,27,2019-09-01,0.55,8,360
7258982,LxWay Apartments Rua da Prata,11707167,LxWay,Lisboa,Santa Maria Maior,38.71083,-9.13788,Entire home/apt,87,2,22,2018-03-21,0.43,110,2
7260038,Belém - Berlinda Lisbon House - 10742/AL,37262714,Silvina,Lisboa,Belm,38.6978,-9.19812,Entire home/apt,60,3,118,2019-09-07,2.31,1,235
7260901,The right size apartment,16774601,Manuel,Lisboa,Santa Maria Maior,38.70909,-9.13195,Entire home/apt,58,2,133,2019-09-20,2.60,1,141
7261303,ROOM in the real city center 4u,29182593,Lisbon,Lisboa,Arroios,38.72794,-9.1422,Private room,18,5,5,2015-09-05,0.10,2,0
7261956,1Sunny room in the real city center,29182593,Lisbon,Lisboa,Arroios,38.72958,-9.14371,Private room,13,5,5,2015-09-14,0.10,2,0
7263139,Casa da Figueira Oca,37999528,Carla,Mafra,Igreja Nova e Cheleiros,38.89847,-9.31972,Entire home/apt,100,1,21,2017-08-26,0.42,2,0
7264154,Charming double room 31456/AL,10104097,Ana,Lisboa,Arroios,38.72569,-9.13191,Private room,27,2,183,2019-09-22,3.61,5,198
7269066,CASA DO ALTO - COLARES - SINTRA,38060798,Frederico Cortez Pinto,Sintra,Colares,38.80259,-9.43778,Entire home/apt,225,4,22,2019-08-18,0.43,1,117
7272085,Alfama rooms with garden,8615249,Hugo,Lisboa,Santa Maria Maior,38.71124,-9.12731,Private room,55,2,197,2019-09-07,3.88,3,360
7272392,Cosy Flat In Central Lisbon With Castle View,8103610,Antoine,Lisboa,Arroios,38.723,-9.13783,Entire home/apt,75,2,43,2019-09-18,1.64,1,345
7274353,Sunny apartment in Alcântara.,5631855,Manuel,Lisboa,Estrela,38.71275,-9.17244,Entire home/apt,39,2,8,2018-08-10,0.16,1,0
