id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21343305,Casa da Rita,23403180,Rita,Lisboa,Estrela,38.710467275133496,-9.16009324589698,Entire home/apt,50,4,22,2018-07-25,2.63,1,165
21344087,LOVELY IN BICA LINDA,5774321,Romuald & Nathalie,Lisboa,Misericrdia,38.707982625199776,-9.145661807465748,Entire home/apt,82,3,37,2018-07-23,4.81,2,221
21344668,Alfama Cathedral 3 bedrooms - wifi free,16856992,Maria,Lisboa,Santa Maria Maior,38.70882937535994,-9.130601337930214,Entire home/apt,145,3,3,2018-07-05,0.91,8,296
21348827,Sunny House W/ Terrace Central and Near the Beach,131676021,Tânia,Mafra,Ericeira,38.96138886125463,-9.415716122242936,Entire home/apt,120,2,3,2018-05-07,0.37,6,62
21350740,Forte da casa,14766869,Ivo,Vila Franca De Xira,Pvoa de Santa Iria e Forte da Casa,38.86989392667122,-9.061000614054695,Private room,12,1,33,2018-07-21,3.54,2,235
21352096,Charming St George's Penthouse,68897059,Maria,Lisboa,Santa Maria Maior,38.71238482662616,-9.14201523157372,Entire home/apt,58,3,1,2018-03-15,0.22,3,276
21354010,"Beautiful,calm and cosy place for your holydays",154548879,Mugurel,Cascais,Alcabideche,38.71366378034934,-9.416520059979494,Entire home/apt,110,3,0,,,1,355
21354284,Double Room,154573233,João Pedro,Lisboa,Avenidas Novas,38.73559516669862,-9.15748308763063,Private room,55,1,4,2018-03-25,0.43,5,303
21355876,THE SUNSET FLAT - ERICEIRA CENTRE,134515502,Cláudia,Mafra,Ericeira,38.961106625022744,-9.41429620449818,Entire home/apt,55,5,1,2017-12-14,0.13,3,241
21361433,Suite in Lisbon with private bathroom,56546020,André,Lisboa,Areeiro,38.74086890213057,-9.138493515369376,Private room,40,2,0,,,1,157
21364065,Central lisbon appartments,132323976,José Carlos,Lisboa,Arroios,38.72013333203072,-9.138690431459969,Entire home/apt,150,2,0,,,4,127
21366319,Mixed Dorm,154573233,João Pedro,Lisboa,Avenidas Novas,38.735841698663954,-9.15753687557922,Shared room,20,1,6,2018-05-21,1.19,5,364
21367060,Blue Room,154573233,João Pedro,Lisboa,Avenidas Novas,38.73541676512591,-9.155203895861401,Private room,23,1,0,,,5,115
