id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15091836,Alfama Spacious apartment with view of the Panteao,75026289,Fernando,Lisboa,So Vicente,38.71531,-9.12559,Entire home/apt,70,4,104,2019-07-18,3.06,1,241
15093493,Maison de campagne à Lisbonne,14491060,Patrick Et Benoit,Lisboa,Estrela,38.71306,-9.16414,Entire home/apt,50,4,22,2019-07-12,0.77,1,344
15094800,Light and comfort in the center of Lisbon,29947333,Cristina,Lisboa,Arroios,38.72665,-9.13677,Entire home/apt,60,3,80,2019-07-03,2.44,1,232
15096607,Sintra Benjamim VH's,42840741,Miguel,Sintra,Colares,38.82211,-9.45095,Entire home/apt,100,1,59,2019-06-28,1.71,11,345
15097890,AlfamaSweethome 2,10487625,Jorge,Lisboa,So Vicente,38.71424,-9.12342,Entire home/apt,62,2,122,2019-07-05,3.54,16,339
15104029,Mar Azul - Spacious Apartment - Beach 4 minutes,95650636,Ana,Mafra,Ericeira,38.96304,-9.41589,Entire home/apt,65,4,24,2019-07-17,0.75,1,302
15105089,"WIIGO Lisbon, Cais do Sodré",9106446,Wiigo,Lisboa,Misericrdia,38.7079,-9.14667,Entire home/apt,100,3,45,2019-06-30,1.37,5,365
15108095,Estúdio Martim Moniz,95694681,Charmforever,Lisboa,Santa Maria Maior,38.71843,-9.13597,Entire home/apt,60,2,57,2019-07-19,1.66,3,360
15109013,The Love Tram Apartment,688914,Luis,Lisboa,Misericrdia,38.70803,-9.14992,Entire home/apt,58,2,15,2019-07-07,0.44,68,143
15112408,Centre of Alfama (Balcony),37276293,Quentin,Lisboa,Santa Maria Maior,38.70997,-9.13117,Entire home/apt,60,3,147,2019-07-08,4.29,3,333
15113833,Confortable and cosy terrace flat,4410788,Francisca,Lisboa,Penha de Frana,38.72308,-9.12914,Entire home/apt,48,3,1,2016-11-11,0.03,1,0
15119745,Estoril Room,80057912,Luísa,Cascais,Cascais e Estoril,38.70786,-9.44234,Private room,43,2,1,2019-06-29,1,8,259
15121187,Lisbon Sun Terrace Graça V,3953109,Feels Like Home,Lisboa,So Vicente,38.71921,-9.12578,Entire home/apt,42,2,11,2019-06-12,0.32,300,310
15121600,Fully decorated Aptmnt in front of NOS ALIVE,8864570,Pedro,Lisboa,Belm,38.6976,-9.2228,Entire home/apt,45,2,20,2018-10-19,0.59,1,20
15121954,Flat with amazing View over the river Tagus,64516234,Amelia,Lisboa,So Vicente,38.71845,-9.12143,Entire home/apt,77,2,46,2019-06-30,1.39,1,352
15124949,ORIENTE DNA REDWOOD APT 1 by W2lx,15262500,Andre And Diogo,Lisboa,Parque das Naes,38.76965,-9.10297,Entire home/apt,94,3,13,2019-01-03,0.39,10,271
15125812,Alfama's Gate - Private room with 2 beds,24190319,Cauêh,Lisboa,Santa Maria Maior,38.70919,-9.13136,Private room,40,2,6,2016-11-11,0.18,1,0
15129885,Olá Lisbon - Terrace Principe Real I,62521369,Maria,Lisboa,Misericrdia,38.71607,-9.15325,Entire home/apt,92,1,205,2019-07-05,5.95,33,139
15139309,São Bento Flat: Garden & Airport Shuttle,96003603,Antoine,Lisboa,Estrela,38.71477,-9.15417,Entire home/apt,185,3,63,2019-06-30,2.12,1,151
15139687,"Big room with much light, Saldanha center",5151549,Sandro,Lisboa,Arroios,38.73384,-9.13835,Private room,25,5,41,2019-07-06,1.23,3,40
15143531,House of Armada in Magoito (2km to beach),60102704,Raquel,Sintra,So Joo das Lampas e Terrugem,38.86549,-9.43568,Entire home/apt,90,2,1,2016-10-02,0.03,1,6
15143620,St Amaro Beach Apart By the sea,96039920,Miguel,Oeiras,"Oeiras e S.Julio da Barra, Pao de Arcos e Caxias",38.68622,-9.31037,Entire home/apt,210,4,26,2019-07-18,0.88,1,277
15144002,Madalena St - a close walking distance to the major hotspots in Lisbon,72054371,Margarida & Tiago,Lisboa,Santa Maria Maior,38.71067,-9.13658,Entire home/apt,96,3,170,2019-07-20,4.95,1,252
15144094,Casa dos Mastros,44208744,Sofia,Lisboa,Misericrdia,38.7083,-9.15105,Entire home/apt,40,2,212,2019-07-07,6.24,2,287
15144372,¡NUEVO! Lisbon All Seasons Apartamento,96047221,Carla,Lisboa,Santo Antnio,38.71796,-9.14588,Entire home/apt,60,2,181,2019-06-30,5.29,3,143
15148445,Spacious 2 bedroom with private garden,96085846,Joao & Cláudia,Lisboa,Santo Antnio,38.72083,-9.14453,Entire home/apt,50,4,115,2019-06-24,3.36,1,316
15152603,Amo Lisboa House - Feel at home in Lisbon,55164620,Pedro,Lisboa,Arroios,38.72518,-9.13243,Entire home/apt,138,3,134,2019-07-18,4.04,1,235
15152950,Apartamento Panoramic 2 Quartos by Garvetur,49327426,Garvetur SA,Lisboa,Parque das Naes,38.77353,-9.09634,Entire home/apt,200,2,0,,,1,311
15156206,Comfortable double room in Belém,13778765,Candida,Lisboa,Belm,38.70143,-9.20383,Private room,30,3,22,2019-07-08,0.67,1,264
15157508,"Room,priv WC, AC,balcony Lisbon view,close Airport",60085711,Henrique,Lisboa,Olivais,38.76448,-9.11948,Private room,25,1,217,2019-07-21,6.31,1,228
15160529,Casa Dylan - Praia das Maçãs - Sintra,96183943,Lina,Sintra,Colares,38.82525,-9.46509,Entire home/apt,90,3,5,2019-07-15,0.21,1,298
15161871,Bright and cozy room with free Parking,94215651,Lisa,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79808,-9.3816,Private room,59,2,96,2019-07-16,2.81,3,330
15161959,Downtown with parking area,36834993,Michele,Lisboa,Santo Antnio,38.71807,-9.14594,Private room,35,1,17,2019-07-15,0.55,3,133
15169366,At Mouraria-Martim Moniz,95694681,Charmforever,Lisboa,Santa Maria Maior,38.7172,-9.13558,Entire home/apt,100,2,25,2019-06-03,0.73,3,355
15171454,"Ericeiras Dream, all the Confort near the Beach",89800389,Hugo,Mafra,Carvoeira,38.94731,-9.40968,Entire home/apt,143,5,6,2018-12-30,0.23,1,203
15173494,"COZY STUDIO,  in a friendly and quiet neighborhood",4227074,Catarina,Cascais,Cascais e Estoril,38.70831,-9.43448,Entire home/apt,55,2,35,2018-10-02,1.29,1,325
15174381,Apartamento Anjos,60499240,Vitor,Lisboa,Arroios,38.72597,-9.1342,Entire home/apt,70,3,62,2019-07-12,1.88,1,241
15174813,Home Out Apartment 3E at City Center,80745409,Diogo & Priscila,Lisboa,Areeiro,38.73783,-9.13602,Entire home/apt,113,2,50,2019-07-15,1.60,29,131
15175086,Central Apartment LisboasweetLisboa,62923627,Sofia,Lisboa,Arroios,38.72042,-9.14108,Entire home/apt,50,2,150,2019-07-07,4.42,2,274
15175166,Fantastic villa with pool near Cascais and Estoril,96204692,Miguel,Cascais,Alcabideche,38.71976,-9.41433,Entire home/apt,155,4,35,2019-07-09,1.45,1,315
15175240,Charming Double Room With Balcony,95647411,Arthur,Lisboa,Arroios,38.73128,-9.13272,Private room,28,1,125,2019-07-02,3.64,1,263
15176018,Avenidas Novas cosy flat,96316350,Amelia,Lisboa,Avenidas Novas,38.7389,-9.15211,Entire home/apt,40,2,36,2019-04-21,1.17,1,111
15178435,Luxury One Bedroom Apartment with Private Pool,4968351,Lopo,Lisboa,So Vicente,38.71796,-9.11934,Entire home/apt,135,3,99,2019-07-12,2.96,4,282
15179522,Great location - The Center of Cascais,4043738,Maria,Cascais,Cascais e Estoril,38.69671,-9.42148,Entire home/apt,90,2,8,2018-01-03,0.28,1,204
15184416,Apartamento Santa Cruz - Vista de Mar,96388210,Silvia,Torres Vedras,A dos Cunhados e Maceira,39.14053,-9.37768,Entire home/apt,55,15,10,2018-08-06,0.30,1,0
15185445,BICA 10 - Apartment Superior T1,90001802,Bica 10,Lisboa,Misericrdia,38.70918,-9.14708,Entire home/apt,95,1,1,2017-03-09,0.03,5,110
15185743,Principe Real Flat,96397446,Maria,Lisboa,Misericrdia,38.71494,-9.14978,Entire home/apt,90,2,89,2019-07-14,2.61,1,104
15185891,Estoril Summer House with Pool,12648815,Pedro & Teresa,Cascais,Cascais e Estoril,38.7143,-9.38877,Entire home/apt,250,3,9,2019-07-14,0.32,3,32
15186074,2 BDR Historic Centre. Amazing Castle Views.,96401423,Bruno & Priscilla,Lisboa,So Vicente,38.71726,-9.13162,Entire home/apt,50,4,40,2018-10-22,1.29,1,0
15186129,"Apartment in the best of Parque das Nações, Lisbon",7770706,Graca,Lisboa,Parque das Naes,38.77823,-9.09487,Entire home/apt,69,3,36,2019-06-27,1.29,1,69
15191364,RIVER VIEW Downtown - Historic Alfama,96444022,Joao,Lisboa,So Vicente,38.71553,-9.12349,Entire home/apt,55,2,85,2019-07-07,2.52,2,266
