id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
18337526,Estoril Apartment - 15m walk to the sea!,99935018,Bruno,Cascais,Cascais e Estoril,38.710529239360866,-9.409516592750046,Entire home/apt,30,2,43,2018-09-06,3.68,5,1
18338601,Liberdade Terrace Delight Apartment |RentExperience,1756107,Ema,Lisboa,Santo Antnio,38.71737394648708,-9.147523128487496,Entire home/apt,65,2,13,2018-08-11,1.03,129,301
18339592,Bright & Quiet House Algés,126898424,Patrícia & Pedro,Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",38.70127655547768,-9.238956264359409,Entire home/apt,46,2,12,2018-08-29,0.71,1,0
18341884,NEW!!! COZY LISBON Graça 4 - Penthouse w/ Terrace,46170730,Cozy Lisbon,Lisboa,So Vicente,38.721299265623855,-9.124150215106875,Entire home/apt,95,2,4,2018-09-03,0.38,7,328
18341887,NEW!!! COZY LISBON Graça 2A,46170730,Cozy Lisbon,Lisboa,So Vicente,38.72087995555215,-9.124454052151645,Entire home/apt,73,2,6,2018-09-12,0.37,7,330
18342358,LisbonWithLove - Santa Catarina,126923162,Vincent,Lisboa,Misericrdia,38.71020998681553,-9.148388158100023,Entire home/apt,75,2,44,2018-08-27,2.66,1,197
18342654,Casa Buganvilia Cacais T2,13321998,Jorginho,Cascais,Cascais e Estoril,38.697440752052756,-9.427354028197643,Entire home/apt,150,3,18,2018-09-02,1.20,2,351
18343029,Eusébio Room - Stars Rooms Mouraria,126461598,Zorro E Calabrezzi,Lisboa,Santa Maria Maior,38.71675604059311,-9.133218604398555,Private room,15,1,26,2018-03-13,1.55,16,0
18343045,"Avemar House -GREAT VIEW, LUX PRIVATE CONDOMINIUM",30346046,Fabio,Mafra,Ericeira,38.97427326246958,-9.418942516418724,Entire home/apt,72,1,6,2018-05-09,0.46,1,338
18343605,City Center Apartment Amazing View,51799858,Estela,Lisboa,So Vicente,38.71715430938107,-9.129525775760005,Entire home/apt,75,3,36,2018-09-09,2.28,2,303
18344000,6 Beds Shared Room near Downtown Lisbon 1,107813252,Gilmar,Lisboa,Arroios,38.73253530407803,-9.138507902479235,Shared room,12,1,22,2018-09-02,1.32,24,81
18345185,Ocean Villa,60514223,Marco,Mafra,Ericeira,38.98458960195183,-9.413558934604485,Entire home/apt,120,2,4,2018-08-17,0.55,6,305
18345382,6 Beds Shared room near downtown Lisbon 2,107813252,Gilmar,Lisboa,Arroios,38.73165639500757,-9.13921488623528,Shared room,12,1,15,2018-09-08,1.14,24,76
18345433,Sintra Design Apartment_Palácio da Pena,121021888,Gabriel,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.797260519569924,-9.389542385978613,Entire home/apt,70,2,61,2018-09-01,3.63,4,254
18346190,6 Beds Shared Room near Downtown Lisbon,107813252,Gilmar,Lisboa,Arroios,38.73163430177763,-9.138067792677552,Shared room,12,1,27,2018-09-16,1.89,24,91
18346418,"Shiny, spacious in posh district",776635,Marisa,Lisboa,Campo de Ourique,38.71765624805491,-9.160645217221807,Entire home/apt,50,3,9,2018-05-27,0.56,12,101
18347196,5 Beds Shared Room near Downtown Lisbon 1,107813252,Gilmar,Lisboa,Arroios,38.732007824501835,-9.139551464100265,Shared room,15,1,8,2018-06-20,0.54,24,85
18347279,5 Beds Shared Room near Downtown Lisbon 2,107813252,Gilmar,Lisboa,Arroios,38.73331900691048,-9.13844634153595,Shared room,16,1,15,2018-06-21,0.98,24,84
18347626,5 Beds Shared Room near Downtown Lisbon 3,107813252,Gilmar,Lisboa,Arroios,38.733612240027234,-9.138209711104464,Shared room,16,1,6,2018-09-08,0.36,24,89
18347706,5 Beds Shared Room near Downtown Lisbon,107813252,Gilmar,Lisboa,Arroios,38.73379852112305,-9.139614172281624,Shared room,14,1,19,2018-08-25,1.21,24,108
18350450,4 Reasons,87217947,João Duarte,Mafra,Santo Isidoro,39.001140325734035,-9.415941567305412,Entire home/apt,45,4,5,2017-09-13,0.33,1,0
18351849,Double room in a quiet place near the coast.,16468387,José,Cascais,Cascais e Estoril,38.70040812516025,-9.379828134702004,Private room,50,1,18,2018-09-13,1.33,1,16
18353383,Galamares Villa in Sintra,688914,Luis,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.803348141087,-9.419303021323495,Entire home/apt,347,3,3,2018-08-11,0.23,75,345
18353452,The Actor´s House: sunny and quiet apartment,60372078,Marina,Lisboa,Areeiro,38.73923538442858,-9.130275822658596,Entire home/apt,83,2,40,2018-08-31,2.55,1,7
18354067,Lisbon Mews House in the heart of Alfama near Se,127036642,Ian,Lisboa,Santa Maria Maior,38.711288905215284,-9.132310100670836,Entire home/apt,128,3,2,2018-05-19,0.45,1,356
18354501,Villa Vivenda Terra Mar,50141939,Mario,Mafra,Encarnao,39.045976688698396,-9.394284087620317,Entire home/apt,54,3,12,2018-08-31,0.85,1,75
18354871,Cosy apartment in stunning Cascais,53185773,Sophie,Cascais,Alcabideche,38.720304200136596,-9.42262108334941,Entire home/apt,66,3,8,2018-07-28,0.51,1,228
18355475,Chiado / Bairro Alto Dream Apartment + Free Pickup,74171605,Rui & Elsa,Lisboa,Misericrdia,38.71055020707774,-9.147098507487252,Entire home/apt,69,2,114,2018-09-14,6.81,15,340
18355491,"Homely mini flat with garden and pool, Parede",102233651,Maxine,Cascais,Carcavelos e Parede,38.70215850582702,-9.359953456438545,Entire home/apt,35,3,21,2018-09-09,1.45,1,347
18356005,Typical Light Filled Graça Apartment + Free Pickup,74171605,Rui & Elsa,Lisboa,So Vicente,38.71897789517611,-9.127279792903128,Entire home/apt,49,2,59,2018-09-09,3.50,15,336
18356444,Amazing terrace over the Tejo river.,3738342,Dominique,Lisboa,So Vicente,38.719061570238686,-9.124389055249965,Entire home/apt,140,3,26,2018-09-13,1.55,1,267
18356781,Apartamento no centro de Lisboa,127063944,Josue,Lisboa,Arroios,38.732450661522975,-9.139118993320139,Entire home/apt,57,5,0,,,1,0
18358962,Best apartment in Baixa Chiado,102699478,Magnom,Lisboa,Santa Maria Maior,38.70888130066743,-9.139299254175864,Entire home/apt,140,1,90,2018-09-10,5.42,2,268
18358965,Condominio com piscina/Moradia T3 /25 min Lisboa,127082530,Moradia Vila Sol,Alenquer,Alenquer (Santo Estvo e Triana),39.056660162501906,-9.023324167123906,Entire home/apt,100,2,11,2018-08-04,0.76,1,172
18361504,Lovely Apartment in the  ❤️  of Bairro Alto!,25072614,Matilde,Lisboa,Misericrdia,38.711933166692326,-9.144631118024122,Entire home/apt,49,3,49,2018-09-14,3.52,1,297
18364004,Family Charming Apartment in Alfama Lisbon,127138664,Aviram,Lisboa,So Vicente,38.71583211449114,-9.122682048919401,Entire home/apt,75,3,51,2018-09-04,3.17,1,320
18365577,Studio Apartment Vila Galé Cascais,82089217,Catarina,Cascais,Cascais e Estoril,38.69066133613797,-9.422696009810483,Private room,120,3,0,,,1,7
18366303,Luxury Oceanfront Charm 1BDR Chalet EstorilCascais,127160198,Filipa,Cascais,Cascais e Estoril,38.701063522328624,-9.388842384348791,Entire home/apt,185,7,1,2017-08-05,0.07,1,258
18367427,Appartement  hyper centre / Place Corpo Santo.,127172778,Michel,Lisboa,Misericrdia,38.70763958984867,-9.141348475835509,Entire home/apt,150,3,9,2018-05-15,0.67,1,77
